matrix_type,algo,n,trial,s,sampling_ratio,rel_error,runtime_sec,speedup
Low-Rank (r=10),rmm_importance,512,5,102,0.2,1.3898724191548268,0.007641599979251623,82.03030801218827
Low-Rank (r=10),rmm_uniform,512,6,3,0.005,15.148519149600496,0.002638899954035878,224.68953364521528
Low-Rank (r=10),rmm_importance,512,6,3,0.005,3.6725510490032893,0.0051849999581463635,114.35548790644062
Low-Rank (r=10),rmm_uniform,512,6,5,0.01,10.797255077100628,0.0025372999953106046,233.68667524713308
Low-Rank (r=10),rmm_importance,512,6,5,0.01,3.753098326443787,0.00457819999428466,129.51229757304364
Low-Rank (r=10),rmm_uniform,512,6,10,0.02,2.8290473568596823,0.005528500012587756,107.25028464477907
Low-Rank (r=10),rmm_importance,512,6,10,0.02,4.485381756179082,0.004511199949774891,131.43580568586611
Low-Rank (r=10),rmm_uniform,512,6,26,0.05,2.3020489529888506,0.002986700041219592,198.52452265898876
Low-Rank (r=10),rmm_importance,512,6,26,0.05,2.1306052478834596,0.006017599953338504,98.53317013533746
Low-Rank (r=10),rmm_uniform,512,6,51,0.1,1.051506074509854,0.004697399970609695,126.22582784487528
Low-Rank (r=10),rmm_importance,512,6,51,0.1,2.1184723175822024,0.008218700008001179,72.14440233023
Low-Rank (r=10),rmm_uniform,512,6,102,0.2,1.9654360259990762,0.004906100046355277,120.85632058180087
Low-Rank (r=10),rmm_importance,512,6,102,0.2,0.6401339195061518,0.009267900022678077,63.97708203129343
Low-Rank (r=10),rmm_uniform,512,7,3,0.005,7.311708717238811,0.0028952000429853797,208.76806129287513
Low-Rank (r=10),rmm_importance,512,7,3,0.005,10.298283788017685,0.00599610002245754,100.80307162410857
Low-Rank (r=10),rmm_uniform,512,7,5,0.01,4.919798654434524,0.0026517999940551817,227.93019887778493
Low-Rank (r=10),rmm_importance,512,7,5,0.01,2.7259901471514163,0.0043673000182025135,138.39793408053401
Low-Rank (r=10),rmm_uniform,512,7,10,0.02,10.14792849551675,0.004227099998388439,142.98817162109734
Low-Rank (r=10),rmm_importance,512,7,10,0.02,3.1983165691974826,0.0048614999977871776,124.32897260191801
Low-Rank (r=10),rmm_uniform,512,7,26,0.05,5.263516814786518,0.0037779000122100115,159.9897557043939
Low-Rank (r=10),rmm_importance,512,7,26,0.05,1.4414163129188589,0.005947799945715815,101.62165936069731
Low-Rank (r=10),rmm_uniform,512,7,51,0.1,2.7014120911160284,0.003914300003089011,154.4146589561653
Low-Rank (r=10),rmm_importance,512,7,51,0.1,1.94905557821499,0.005913000029977411,102.219735661225
Low-Rank (r=10),rmm_uniform,512,7,102,0.2,1.1074810065498735,0.003799099999014288,159.09697038401995
Low-Rank (r=10),rmm_importance,512,7,102,0.2,0.9158563669547718,0.006342499982565641,95.2976431518423
Low-Rank (r=10),rmm_uniform,512,8,3,0.005,2.35708715991982,0.0027446000021882355,228.1167016942637
Low-Rank (r=10),rmm_importance,512,8,3,0.005,6.049899630952385,0.004966499982401729,126.06243877735432
Low-Rank (r=10),rmm_uniform,512,8,5,0.01,14.779155310458554,0.002180200011935085,287.17048735980416
Low-Rank (r=10),rmm_importance,512,8,5,0.01,6.120150041184483,0.004025599977467209,155.52690368484312
Low-Rank (r=10),rmm_uniform,512,8,10,0.02,4.186027829995733,0.0023589000338688493,265.41569841024415
Low-Rank (r=10),rmm_importance,512,8,10,0.02,7.321909671547479,0.006952500029001385,90.0523692711407
Low-Rank (r=10),rmm_uniform,512,8,26,0.05,1.9189303402401798,0.00417219998780638,150.06210196036852
Low-Rank (r=10),rmm_importance,512,8,26,0.05,2.9997374162831143,0.004702800011727959,133.13113430464676
Low-Rank (r=10),rmm_uniform,512,8,51,0.1,3.4908952653797134,0.003211400005966425,194.9583044174021
Low-Rank (r=10),rmm_importance,512,8,51,0.1,1.8590922832707517,0.005905200028792024,106.02335177752191
Low-Rank (r=10),rmm_uniform,512,8,102,0.2,2.211023372597716,0.0037537000025622547,166.79252458691005
Low-Rank (r=10),rmm_importance,512,8,102,0.2,2.394358230748105,0.006939499988220632,90.22106794898716
Low-Rank (r=10),rmm_uniform,512,9,3,0.005,40.60513153599085,0.0025000000023283064,224.76667980685207
Low-Rank (r=10),rmm_importance,512,9,3,0.005,4.478770505981319,0.004273099999409169,131.5009478173108
Low-Rank (r=10),rmm_uniform,512,9,5,0.01,4.816215946927293,0.0024441999848932028,229.89800487418316
Low-Rank (r=10),rmm_importance,512,9,5,0.01,9.767538880798622,0.004708099993877113,119.35105472934495
Low-Rank (r=10),rmm_uniform,512,9,10,0.02,3.7675239861457515,0.0023982999846339226,234.29792087757824
Low-Rank (r=10),rmm_importance,512,9,10,0.02,2.361712233274255,0.0060683999909088016,92.59717567765395
Low-Rank (r=10),rmm_uniform,512,9,26,0.05,5.251111103702076,0.0034022999461740255,165.15789581466672
Low-Rank (r=10),rmm_importance,512,9,26,0.05,6.709689852347821,0.005299500015098602,106.0320215943996
Low-Rank (r=10),rmm_uniform,512,9,51,0.1,0.8551945119405978,0.008622800000011921,65.1663844736836
Low-Rank (r=10),rmm_importance,512,9,51,0.1,2.1151964133326997,0.006601799977943301,85.11568086246582
Low-Rank (r=10),rmm_uniform,512,9,102,0.2,2.000204985962224,0.004684599989559501,119.94977186799115
Low-Rank (r=10),rmm_importance,512,9,102,0.2,2.263411607546042,0.007529400056228042,74.62967777567606
Sparse (1%),rmm_uniform,512,0,3,0.005,10.6761560145074,0.003620700037572533,162.28985940632302
Sparse (1%),rmm_importance,512,0,3,0.005,11.01228283842512,0.00488179997773841,120.36603357975626
Sparse (1%),rmm_uniform,512,0,5,0.01,6.040546224391716,0.002605699992273003,225.5067359222492
Sparse (1%),rmm_importance,512,0,5,0.01,8.566761219124391,0.005559300014283508,105.69728176935709
Sparse (1%),rmm_uniform,512,0,10,0.02,12.197388103347196,0.0028510999982245266,206.09691011049574
Sparse (1%),rmm_importance,512,0,10,0.02,5.920234819561579,0.005236299999523908,112.21719536763374
Sparse (1%),rmm_uniform,512,0,26,0.05,5.096043598178836,0.004158200055826455,141.31183977710927
Sparse (1%),rmm_importance,512,0,26,0.05,3.6706900897300763,0.006206999998539686,94.66777834515217
Sparse (1%),rmm_uniform,512,0,51,0.1,3.2870585936414014,0.004849699966143817,121.16273257154515
Sparse (1%),rmm_importance,512,0,51,0.1,2.6620449682886402,0.00675609998870641,86.97368319479581
Sparse (1%),rmm_uniform,512,0,102,0.2,2.272596555369892,0.003355399996507913,175.1215654353146
Sparse (1%),rmm_importance,512,0,102,0.2,1.9227901700578418,0.006890399963594973,85.27848936994667
Sparse (1%),rmm_uniform,512,1,3,0.005,19.45398192050242,0.0023068999871611595,216.76444700072466
Sparse (1%),rmm_importance,512,1,3,0.005,11.040971966809618,0.004237100016325712,118.0179599434142
