density,sparsity_pct,algo,n,trial,s,sampling_ratio,rel_error,runtime_sec,speedup
0.1,90.0,rmm_uniform,512,7,102,0.2,2.2327525990956945,0.004383400024380535,130.13254479486088
0.1,90.0,rmm_importance,512,7,102,0.2,2.1937344630206854,0.005566099949646741,102.4816307983648
0.1,90.0,rmm_uniform,512,8,3,0.005,13.294540993980831,0.0029064000118523836,188.28530063103162
0.1,90.0,rmm_importance,512,8,3,0.005,12.818421704335414,0.004455499991308898,122.82177108138625
0.1,90.0,rmm_uniform,512,8,5,0.01,9.17690432252247,0.0023930000024847686,228.68048450373664
0.1,90.0,rmm_importance,512,8,5,0.01,9.940333400862707,0.005142199981492013,106.41989847833185
0.1,90.0,rmm_uniform,512,8,10,0.02,7.698347037969862,0.002610500028822571,209.6274253758508
0.1,90.0,rmm_importance,512,8,10,0.02,6.942062844801545,0.004473300010431558,122.33304243165799
0.1,90.0,rmm_uniform,512,8,26,0.05,4.414486000935167,0.003132199984975159,174.71183277270842
0.1,90.0,rmm_importance,512,8,26,0.05,4.56405897266123,0.004723899997770786,115.84334982618164
0.1,90.0,rmm_uniform,512,8,51,0.1,3.0668219854337466,0.0029369000112637877,186.32993901286355
0.1,90.0,rmm_importance,512,8,51,0.1,3.378790430987846,0.005250999995041639,104.2148924971234
0.1,90.0,rmm_uniform,512,8,102,0.2,2.0782110969631917,0.0038295999984256923,142.89544605458045
0.1,90.0,rmm_importance,512,8,102,0.2,2.338591341187137,0.007037800038233399,77.75617337985976
0.1,90.0,rmm_uniform,512,9,3,0.005,10.442903025423444,0.00220470002386719,223.59096233338397
0.1,90.0,rmm_importance,512,9,3,0.005,12.853410243636935,0.0034186000120826066,144.19674669473676
0.1,90.0,rmm_uniform,512,9,5,0.01,10.623808522705195,0.0019786999910138547,249.12872200515818
0.1,90.0,rmm_importance,512,9,5,0.01,9.938697942378296,0.00578870001481846,85.15746173251286
0.1,90.0,rmm_uniform,512,9,10,0.02,7.435099652332892,0.0033885000157169998,145.4776442987834
0.1,90.0,rmm_importance,512,9,10,0.02,7.00421565721654,0.004769899998791516,103.34619176875654
0.1,90.0,rmm_uniform,512,9,26,0.05,4.331152592033351,0.0024677999899722636,199.75322230163394
0.1,90.0,rmm_importance,512,9,26,0.05,4.419803201181995,0.003961100010201335,124.44800654448608
0.1,90.0,rmm_uniform,512,9,51,0.1,3.347427768175308,0.002886400034185499,170.7840195934599
0.1,90.0,rmm_importance,512,9,51,0.1,3.2248491601268032,0.005569999979343265,88.50107752621955
0.1,90.0,rmm_uniform,512,9,102,0.2,2.182206492402652,0.003462799999397248,142.3561857683681
0.1,90.0,rmm_importance,512,9,102,0.2,2.151241739166781,0.005664500000420958,87.02462705556817
0.05,95.0,rmm_uniform,512,0,3,0.005,13.818483190069779,0.0019757000263780355,246.47248748963978
0.05,95.0,rmm_importance,512,0,3,0.005,12.67092923868309,0.0035664999741129577,136.53601670244075
0.05,95.0,rmm_uniform,512,0,5,0.01,9.0233537319441,0.002107500040438026,231.05845347150344
0.05,95.0,rmm_importance,512,0,5,0.01,9.816578208689029,0.004217899986542761,115.44979766907153
0.05,95.0,rmm_uniform,512,0,10,0.02,8.301265233954073,0.002246100048068911,216.800538539413
0.05,95.0,rmm_importance,512,0,10,0.02,6.885251455784018,0.004251600010320544,114.53469255167019
0.05,95.0,rmm_uniform,512,0,26,0.05,4.464790877411731,0.0035979999811388552,135.34066219772683
0.05,95.0,rmm_importance,512,0,26,0.05,4.209801250587422,0.004194700042717159,116.08832457047653
0.05,95.0,rmm_uniform,512,0,51,0.1,3.1667762148480683,0.003125899995211512,155.78095933353484
0.05,95.0,rmm_importance,512,0,51,0.1,3.080925406273408,0.006102299958001822,79.79871579341264
0.05,95.0,rmm_uniform,512,0,102,0.2,2.2151924364687563,0.004044100001920015,120.4113893829405
0.05,95.0,rmm_importance,512,0,102,0.2,2.133916526245891,0.004943500040099025,98.50423709614999
0.05,95.0,rmm_uniform,512,1,3,0.005,8.699684359852817,0.002010399999562651,229.9832372128085
0.05,95.0,rmm_importance,512,1,3,0.005,12.630809970555367,0.0037263999693095684,124.07640183555324
0.05,95.0,rmm_uniform,512,1,5,0.01,9.822082715324301,0.0020163999870419502,229.29890049757677
0.05,95.0,rmm_importance,512,1,5,0.01,9.747031334608977,0.004292700032237917,107.70803841865596
0.05,95.0,rmm_uniform,512,1,10,0.02,6.21346131660638,0.0025177000206895173,183.6431251509551
0.05,95.0,rmm_importance,512,1,10,0.02,6.872522049509737,0.003700300003401935,124.95157137717756
0.05,95.0,rmm_uniform,512,1,26,0.05,3.9462075520809257,0.0025050999829545617,184.56680497308264
0.05,95.0,rmm_importance,512,1,26,0.05,4.1812154524794645,0.0052494999836198986,88.0766361433949
0.05,95.0,rmm_uniform,512,1,51,0.1,2.975269000929006,0.002787899982649833,165.84465112431567
0.05,95.0,rmm_importance,512,1,51,0.1,3.363969707825736,0.004385599982924759,105.42646429045729
0.05,95.0,rmm_uniform,512,1,102,0.2,2.413231135267708,0.0031967999530024827,144.63160247415337
0.05,95.0,rmm_importance,512,1,102,0.2,2.1913847428948565,0.005710199999157339,80.97059648703689
0.05,95.0,rmm_uniform,512,2,3,0.005,13.325764792728341,0.002577000006567687,213.55393813901233
0.05,95.0,rmm_importance,512,2,3,0.005,12.65559838665811,0.005524600041098893,99.61417946869595
0.05,95.0,rmm_uniform,512,2,5,0.01,9.678649262486507,0.002293199999257922,239.98277523324438
0.05,95.0,rmm_importance,512,2,5,0.01,9.76123869630821,0.00484029995277524,113.69718929738086
0.05,95.0,rmm_uniform,512,2,10,0.02,6.555606409751206,0.0031267000013031065,176.00937082464935
0.05,95.0,rmm_importance,512,2,10,0.02,6.87815202281279,0.004851600038819015,113.43237191513256
0.05,95.0,rmm_uniform,512,2,26,0.05,4.214934801017003,0.0027635000296868384,199.14184696033954
0.05,95.0,rmm_importance,512,2,26,0.05,4.173530372746539,0.006040099950041622,91.1124823328458
0.05,95.0,rmm_uniform,512,2,51,0.1,3.4222052352988968,0.002781699993647635,197.8389119040641
0.05,95.0,rmm_importance,512,2,51,0.1,3.099896858284765,0.006714299961458892,81.96364522671907
0.05,95.0,rmm_uniform,512,2,102,0.2,2.121190196532351,0.004072999989148229,135.1162537326395
0.05,95.0,rmm_importance,512,2,102,0.2,2.086501908466261,0.007388300029560924,74.48648508924933
0.05,95.0,rmm_uniform,512,3,3,0.005,12.70069498102671,0.0024170000106096268,226.4222579977374
0.05,95.0,rmm_importance,512,3,3,0.005,12.636378147425935,0.005592799978330731,97.85127344141618
0.05,95.0,rmm_uniform,512,3,5,0.01,9.95262755692345,0.0021740999654866755,251.71915214132363
0.05,95.0,rmm_importance,512,3,5,0.01,9.778402432857007,0.0039771999581716955,137.59997127083386
0.05,95.0,rmm_uniform,512,3,10,0.02,6.357126842383663,0.0025304000009782612,216.27513427569292
0.05,95.0,rmm_importance,512,3,10,0.02,6.880618232287838,0.004483399970922619,122.06419314183297
0.05,95.0,rmm_uniform,512,3,26,0.05,4.42874679884938,0.0024409000179730356,224.20525050314964
0.05,95.0,rmm_importance,512,3,26,0.05,4.50024976330616,0.009767099982127547,56.03122738419822
0.05,95.0,rmm_uniform,512,3,51,0.1,3.136496716325977,0.0030929999775253236,176.93585643691014
0.05,95.0,rmm_importance,512,3,51,0.1,2.9245805201663315,0.006433800037484616,85.0605546946322
0.05,95.0,rmm_uniform,512,3,102,0.2,2.2876048830260958,0.0046113000134937465,118.6785935379108
0.05,95.0,rmm_importance,512,3,102,0.2,2.1278885904198455,0.007104799966327846,77.02716509633733
0.05,95.0,rmm_uniform,512,4,3,0.005,12.046645685356344,0.0020944999996572733,255.74905711648614
0.05,95.0,rmm_importance,512,4,3,0.005,12.64863679106728,0.004356799996457994,122.94950433306924
0.05,95.0,rmm_uniform,512,4,5,0.01,7.837385880060367,0.0021459999843500555,249.61155822424755
0.05,95.0,rmm_importance,512,4,5,0.01,9.764637811313355,0.003882399993017316,137.97300664698386
0.05,95.0,rmm_uniform,512,4,10,0.02,6.497807950704144,0.004207000019960105,127.32740610918938
0.05,95.0,rmm_importance,512,4,10,0.02,7.5439826646205175,0.004059500002767891,131.95378733282288
0.05,95.0,rmm_uniform,512,4,26,0.05,4.588081627044444,0.0024692000006325543,216.93925154122886
0.05,95.0,rmm_importance,512,4,26,0.05,4.363139376205352,0.00439439999172464,121.89750615591979
0.05,95.0,rmm_uniform,512,4,51,0.1,3.0265253710923647,0.0028381000156514347,188.74119907288596
0.05,95.0,rmm_importance,512,4,51,0.1,3.0907517688973996,0.0048399000079371035,110.67716257864255
0.05,95.0,rmm_uniform,512,4,102,0.2,2.121517098090678,0.006218799971975386,86.13661839209713
0.05,95.0,rmm_importance,512,4,102,0.2,2.213278692070351,0.005633399996440858,95.08758482998871
0.05,95.0,rmm_uniform,512,5,3,0.005,9.643568994874467,0.0023569000186398625,209.88667149536613
0.05,95.0,rmm_importance,512,5,3,0.005,12.654582285768939,0.005521500017493963,89.5919403046942
